epoch,step,val_loss
0,429,0.6331076622009277
1,859,0.43125173449516296
2,1289,0.3554506003856659
3,1719,0.3107409179210663
4,2149,0.2860826849937439
5,2579,0.26420578360557556
6,3009,0.24824848771095276
7,3439,0.23817116022109985
8,3869,0.2225428819656372
9,4299,0.21353596448898315
10,4729,0.20874358713626862
11,5159,0.20042812824249268
12,5589,0.19143205881118774
13,6019,0.19173264503479004
14,6449,0.18710441887378693
15,6879,0.18322572112083435
16,7309,0.17914587259292603
17,7739,0.17665354907512665
18,8169,0.16867497563362122
19,8599,0.17032018303871155
20,9029,0.16719740629196167
21,9459,0.16336195170879364
22,9889,0.16512897610664368
23,10319,0.16251477599143982
24,10749,0.15969277918338776
25,11179,0.15688787400722504
26,11609,0.15740542113780975
27,12039,0.1572689563035965
28,12469,0.15678417682647705
29,12899,0.15021339058876038
30,13329,0.15335755050182343
31,13759,0.15175142884254456
32,14189,0.14996440708637238
33,14619,0.14974012970924377
34,15049,0.15152665972709656
35,15479,0.1461716592311859
36,15909,0.14469365775585175
37,16339,0.14384472370147705
38,16769,0.14779354631900787
39,17199,0.14697052538394928
40,17629,0.1403600573539734
41,18059,0.1387510746717453
42,18489,0.1404321938753128
43,18919,0.1398061215877533
44,19349,0.1394675374031067
45,19779,0.1416349709033966
46,20209,0.13804425299167633
47,20639,0.1388632208108902
48,21069,0.13892200589179993
49,21499,0.13701143860816956
